DateLocalPort,TimeLocalPort,FlightCode,FlightNumber,Movement,AircraftType,AircraftRegistration,Origin,Destination,FlightType,SeatingCapacity,TotalPassengers,Infants,TransitPax,TransferPax,POSCrew,OnCarriagePax,Exemptions,TotalPaxChargeable
2025-04-22,19:08:59,JQ,7330,L,Uni,Film.,REA,GOO,INT,349,152,45,1,8,7,48,17,431
2025-07-12,13:57:26,JQ,3491,D,Lik,Skill.,OWN,CAR,INT,406,384,47,17,23,5,20,3,241
2025-05-27,03:16:42,JQ,483,D,Put,Fund.,NOW,YEA,INT,241,122,33,4,19,9,14,1,16
2025-09-12,02:23:52,JQ,4344,D,Wif,Push.,HOW,STA,INT,204,228,2,0,17,1,5,5,212
2025-12-11,21:13:55,JQ,3110,L,Pas,Sort.,LIK,WEA,DOM,297,432,2,1,13,7,13,18,399
2025-02-26,17:01:35,JQ,2008,L,Doo,Help.,UPO,CAR,DOM,479,432,46,7,5,10,10,12,22
2025-07-04,23:48:42,JQ,8617,L,Tri,Trial.,WAL,LAY,INT,485,410,12,23,7,5,36,9,300
2025-07-08,03:40:24,JQ,2388,D,Sea,All.,PLA,IN.,INT,221,336,49,8,22,2,15,18,73
2025-11-28,22:26:07,JQ,8234,L,Fre,Task.,DAR,SHE,INT,437,270,29,8,25,1,17,2,62
2025-11-13,18:57:41,JQ,5774,D,Ris,Act.,ARE,WAR,DOM,394,221,33,14,14,2,4,10,167
2025-02-16,12:12:49,JQ,9346,L,Son,Tax.,AS.,LON,DOM,119,193,0,9,8,10,2,5,67
2025-07-20,10:25:51,JQ,2989,L,Hea,Cut.,SAF,YES,INT,186,15,43,25,2,4,1,11,113
2025-12-27,09:50:23,JQ,6609,L,Uni,Each.,SIG,OIL,INT,389,78,18,15,24,10,46,5,217
2025-04-28,14:32:02,JQ,4968,L,Red,Shake.,HOL,MAK,DOM,400,430,40,10,1,5,0,13,69
2025-09-20,02:54:35,JQ,3484,L,Yar,Many.,FIV,WAN,INT,187,106,45,14,15,1,3,17,279
2025-07-12,08:41:02,JQ,1069,L,Day,Last.,WOR,FLY,DOM,318,111,21,23,25,0,7,11,183
2025-08-14,22:39:49,JQ,4096,D,Loo,Thus.,OR.,TRI,INT,142,332,22,15,18,10,11,6,54
2025-04-01,04:13:35,JQ,2780,D,Ver,Exist.,ARM,NIC,DOM,146,216,41,9,19,2,17,14,494
2025-04-04,19:02:35,JQ,8289,D,Wor,Too.,PLA,THI,INT,169,10,44,14,9,9,32,19,453
2025-09-16,14:16:24,JQ,1065,L,We.,Cup.,ROL,BIL,DOM,177,344,20,4,19,3,28,11,76
2025-07-02,09:03:30,JQ,8841,D,Per,Hair.,SET,SID,INT,441,323,2,20,16,0,21,15,126
2025-07-09,05:14:07,JQ,5413,L,Six,Break.,BOT,OF.,DOM,321,305,47,19,21,8,3,4,72
2025-11-02,10:48:19,JQ,9003,L,Eve,Woman.,GAS,AT.,INT,278,109,4,15,17,3,0,18,16
2025-11-27,15:06:43,JQ,2049,L,Fea,Or.,RES,CAR,INT,430,53,28,13,0,7,11,18,355
2025-08-27,20:40:55,JQ,4610,D,Buy,Near.,GIV,HAV,DOM,322,60,7,23,3,3,38,9,111
2025-08-03,04:29:23,JQ,9282,D,Put,Avoid.,UP.,FRE,INT,395,66,6,20,6,0,49,14,320
2025-08-08,13:42:23,JQ,8906,L,Fil,Table.,BES,NOR,INT,238,489,35,14,5,1,22,12,479
