FLIGHT_CODE,DOMINTIND,FLIGHT_NUMBER,ORIGPORT,DESTPORT,AC_CODE,MOVEMENTTYPE,UACTUALDATE,UACTUALTIME,AC_REGO,ADULT,ADULT_ARRDEP,ADULT_TRANSIT,ADULT_TRANSFER,CHILD,CHILD_ARRDEP,CHILD_TRANSIT,CHILD_TRANSFER,INFANT,INFANT_ARRDEP,INFANT_TRANSIT,INFANT_TRANSFER,CREW,CREW_ARRDEP,CREW_TRANSIT,CREW_TRANSFER,FLTTYPE,GLMGNTCD,TERM,GATE,SECC,MTOW,CAP
QF,I,917,SAV,FAL,Two.,L,2025-06-08,14:28:03,FISH.,AD,75,24,44,CH,15,6,8,IN,18,2,3,CR,12,5,8,B,9,Animal.,Behavior.,TN,41185951.42,430
QF,D,413,WES,BAD,Bad.,L,2025-10-10,03:57:24,THIS.,AD,95,1,7,CH,19,0,15,IN,19,7,4,CR,3,7,5,R,6,Success.,Keep some.,TN,5292174.06,458
QF,I,3270,TAL,THE,Fish,L,2025-04-07,02:43:52,PAST.,AD,13,33,50,CH,23,7,9,IN,3,8,9,CR,0,10,8,T,5,Coach.,Ten.,TN,2656096.27,370
QF,D,6884,AWA,EAS,Stop,L,2025-07-01,10:00:56,HIM.,AD,18,43,50,CH,30,0,21,IN,0,9,6,CR,13,9,0,C,1,Close.,Pay.,TN,76506697.77,210
QF,I,1253,TER,PER,Lose,D,2025-12-03,15:17:37,ALL.,AD,51,12,30,CH,37,5,19,IN,14,6,5,CR,3,7,3,W,1,Result.,Green.,TN,43999592.07,103
QF,I,6622,TRU,ELS,By.,D,2025-12-12,00:37:19,CAN.,AD,19,0,4,CH,24,17,4,IN,5,1,10,CR,9,4,2,D,8,Kitchen.,Kitchen.,TN,99394680.89,205
QF,I,210,OPE,RIS,Easy,D,2025-09-25,09:17:10,AT.,AD,75,18,0,CH,6,23,8,IN,16,2,1,CR,12,0,3,O,7,Beat.,Whole.,TN,29912512.53,96
QF,D,2117,SKI,THA,Head,D,2025-08-10,11:26:52,SING.,AD,66,16,43,CH,27,6,21,IN,1,3,8,CR,14,10,5,W,8,Box.,Work.,TN,54478334.77,197
QF,D,6871,FUL,A.,Fish,L,2025-11-17,07:07:29,WELL.,AD,25,50,31,CH,6,12,21,IN,18,8,10,CR,4,10,4,R,3,Turn book.,Before.,TN,11836586.23,499
QF,I,8333,CAR,STA,Body,D,2025-04-21,07:22:05,WHY.,AD,80,37,42,CH,41,17,13,IN,4,8,4,CR,2,8,3,B,10,Industry.,Early.,TN,53212612.3,109
QF,D,5119,BOR,NEX,Size,D,2025-10-18,16:01:28,KNOW.,AD,63,27,3,CH,35,1,2,IN,1,3,0,CR,3,10,0,I,5,Pay.,Side.,TN,91392385.77,472
QF,I,5124,REA,SON,Hand,L,2025-05-18,04:21:31,TRY.,AD,81,23,21,CH,37,24,0,IN,4,4,1,CR,20,9,8,Y,10,Action.,Run.,TN,38248949.66,344
QF,I,2305,USE,MIS,Eat.,D,2025-03-19,17:16:05,OIL.,AD,77,36,14,CH,5,24,17,IN,2,5,0,CR,14,6,0,T,8,Finish.,Idea.,TN,60910653.18,386
QF,D,9762,LAS,TEN,Pull,D,2025-12-24,16:03:06,BED.,AD,22,41,3,CH,14,5,19,IN,11,2,9,CR,15,3,9,C,2,Read.,Reality.,TN,45802624.5,191
QF,D,4443,ADD,HAV,She.,D,2025-07-29,06:15:47,MEET.,AD,25,3,38,CH,20,15,17,IN,5,4,6,CR,14,0,9,R,1,As act.,Trouble.,TN,57832536.58,371
QF,D,6131,FAC,BOO,Need,L,2025-11-20,10:43:47,AGE.,AD,4,48,18,CH,17,5,25,IN,20,7,1,CR,0,6,2,O,10,Cold eat.,Mission.,TN,44172853.98,285
QF,D,2621,IDE,TAS,Say.,L,2025-05-06,16:27:19,AGE.,AD,49,47,4,CH,11,19,8,IN,16,10,10,CR,10,4,1,T,3,Score.,Red party.,TN,15608620.36,226
QF,D,1489,PUS,OFF,Cold,L,2025-06-17,16:33:43,PM.,AD,12,18,26,CH,16,0,15,IN,15,0,2,CR,20,6,1,M,1,South.,Right.,TN,96078306.42,393
QF,D,5456,OR.,SIG,Main,D,2025-07-27,16:14:36,SORT.,AD,95,12,48,CH,4,14,0,IN,14,5,0,CR,2,6,1,S,1,Dog.,About.,TN,27831044.79,387
QF,D,8597,BAL,NEW,Can.,D,2025-10-05,14:20:08,I.,AD,77,23,41,CH,14,7,12,IN,20,6,8,CR,6,0,1,L,9,Protect.,Must hear.,TN,11290058.26,438
QF,I,1726,OK.,MAN,Far.,L,2025-06-12,07:34:17,KEY.,AD,95,8,12,CH,48,13,17,IN,15,0,8,CR,12,9,0,A,4,Deal.,Respond.,TN,532799.02,284
QF,D,5870,DOO,OUT,Whom,L,2025-04-18,09:00:51,HEAD.,AD,78,35,35,CH,46,17,13,IN,7,3,7,CR,19,6,10,H,6,After.,Pass very.,TN,91747765.77,236
QF,D,6081,GOO,REA,Your,D,2025-10-15,17:42:20,PUSH.,AD,30,39,24,CH,23,10,8,IN,0,6,2,CR,18,2,1,B,7,Force.,Probably.,TN,52177028.15,413
QF,D,6115,IDE,LOT,Part,L,2025-11-13,12:58:34,FREE.,AD,14,36,35,CH,0,15,15,IN,17,9,6,CR,10,4,8,M,6,Democrat.,Use break.,TN,14471922.45,379
QF,D,106,MY.,SON,Ball,L,2025-10-03,22:44:17,HAIR.,AD,85,28,26,CH,34,19,5,IN,11,4,10,CR,15,5,7,U,10,Control.,Many draw.,TN,77673693.07,414
QF,D,7717,SAF,KNO,Hour,D,2025-06-04,22:21:35,THE.,AD,22,43,7,CH,3,20,22,IN,1,1,6,CR,16,3,3,F,1,Challenge.,Daughter.,TN,93686681.38,115
